"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"348759","57","1",2,"39 KOs","0 KOs"
"447121","38","0",0,"29 KOs","0 KOs"
"659772","19","0",0,"13 KOs","0 KOs"
"479205","31","0",1,"22 KOs","0 KOs"
"659461","24","2",0,"22 KOs","1 KOs"
"514537","28","1",0,"20 KOs","0 KOs"
"468841","42","2",1,"41 KOs","2 KOs"
"631178","28","1",0,"20 KOs","0 KOs"
"541777","27","4",0,"12 KOs","0 KOs"
"725709","18","0",0,"13 KOs","0 KOs"
"646981","17","0",0,"17 KOs","0 KOs"
"467843","42","3",0,"28 KOs","0 KOs"
"629933","30","0",0,"23 KOs","0 KOs"
"611370","26","1",0,"22 KOs","0 KOs"
"569964","28","2",0,"19 KOs","2 KOs"
"523667","35","2",0,"27 KOs","1 KOs"
"319725","50","3",0,"41 KOs","1 KOs"
"628407","22","0",0,"19 KOs","0 KOs"
"433135","34","1",1,"18 KOs","0 KOs"
"625137","17","0",2,"12 KOs","0 KOs"
"703924","19","0",0,"11 KOs","0 KOs"
"643387","26","0",0,"24 KOs","0 KOs"
"632104","26","1",0,"17 KOs","0 KOs"
"48243","42","6",0,"28 KOs","1 KOs"
"588468","31","2",0,"23 KOs","0 KOs"
"457231","28","3",3,"16 KOs","0 KOs"
"471634","32","0",0,"22 KOs","0 KOs"
"646781","20","0",0,"10 KOs","0 KOs"
"659771","16","2",0,"11 KOs","0 KOs"
"776269","16","1",0,"12 KOs","0 KOs"
"613846","30","2",0,"21 KOs","0 KOs"
"513839","27","3",0,"21 KOs","1 KOs"
"790719","17","0",0,"9 KOs","0 KOs"
"741718","27","0",0,"15 KOs","0 KOs"
"468433","31","0",0,"19 KOs","0 KOs"
"509666","43","0",0,"29 KOs","0 KOs"
"659924","38","0",0,"30 KOs","0 KOs"
"578364","39","2",0,"13 KOs","0 KOs"
"602423","35","1",0,"29 KOs","0 KOs"
"579465","27","4",2,"21 KOs","1 KOs"
"482499","30","1",0,"14 KOs","1 KOs"
"507154","25","2",0,"23 KOs","1 KOs"
"528191","50","5",1,"43 KOs","2 KOs"
"610132","28","3",0,"22 KOs","0 KOs"
"766727","18","0",0,"18 KOs","0 KOs"
"559909","29","3",0,"14 KOs","1 KOs"
"483786","28","2",0,"15 KOs","0 KOs"
"364679","40","2",0,"30 KOs","0 KOs"
"438266","23","5",0,"13 KOs","3 KOs"
"421916","31","4",0,"21 KOs","1 KOs"
"311622","46","4",0,"26 KOs","0 KOs"
"700183","20","0",0,"8 KOs","0 KOs"
"789060","17","0",0,"14 KOs","0 KOs"
"499476","28","3",1,"16 KOs","1 KOs"
"358968","46","5",0,"31 KOs","1 KOs"
"783149","20","0",0,"15 KOs","0 KOs"
"740705","16","0",1,"13 KOs","0 KOs"
"722209","22","0",0,"13 KOs","0 KOs"
"466535","30","3",1,"17 KOs","1 KOs"
"381739","32","12",0,"23 KOs","3 KOs"
"629463","24","2",0,"16 KOs","1 KOs"
"640268","20","1",2,"14 KOs","0 KOs"
"492989","20","2",0,"13 KOs","1 KOs"
"583767","28","1",0,"21 KOs","0 KOs"
"756515","28","0",0,"26 KOs","0 KOs"
"634717","32","2",1,"15 KOs","0 KOs"
"542148","35","0",0,"22 KOs","0 KOs"
"545557","30","5",0,"17 KOs","1 KOs"
"634455","23","3",0,"11 KOs","2 KOs"
"650083","21","1",0,"15 KOs","0 KOs"
"684493","21","1",0,"12 KOs","1 KOs"
"528949","33","2",0,"28 KOs","2 KOs"
"553222","38","2",0,"34 KOs","2 KOs"
"750459","14","0",0,"11 KOs","0 KOs"
"718399","22","1",1,"17 KOs","0 KOs"
"851173","8","0",0,"6 KOs","0 KOs"
"811429","13","0",0,"12 KOs","0 KOs"
"489762","34","2",0,"22 KOs","0 KOs"
"535757","26","1",1,"18 KOs","1 KOs"
"714366","22","2",1,"15 KOs","0 KOs"
"723287","21","1",0,"16 KOs","0 KOs"
"670934","24","1",0,"17 KOs","1 KOs"
"773847","18","0",1,"12 KOs","0 KOs"
"691996","13","4",0,"10 KOs","0 KOs"
"691371","20","0",0,"9 KOs","0 KOs"
"582091","25","2",0,"15 KOs","1 KOs"
"588275","23","3",1,"18 KOs","1 KOs"
"828415","10","0",0,"7 KOs","0 KOs"
"692571","27","1",0,"16 KOs","0 KOs"
"775118","17","0",0,"4 KOs","0 KOs"
"672259","25","0",0,"22 KOs","0 KOs"
"503964","28","1",0,"19 KOs","0 KOs"
"655301","26","0",0,"10 KOs","0 KOs"
"661447","23","2",0,"15 KOs","1 KOs"
"645054","22","2",1,"18 KOs","2 KOs"
"563751","30","4",0,"27 KOs","1 KOs"
"507579","29","1",1,"15 KOs","0 KOs"
"506289","33","1",2,"22 KOs","0 KOs"
"783107","23","2",1,"16 KOs","1 KOs"
"455859","34","4",1,"24 KOs","0 KOs"
"680900","17","1",0,"12 KOs","1 KOs"
"750377","20","0",0,"13 KOs","0 KOs"
"568890","20","3",0,"16 KOs","0 KOs"
"752510","13","3",0,"12 KOs","1 KOs"
"215599","43","1",6,"23 KOs","0 KOs"
"497268","25","3",3,"15 KOs","1 KOs"
"643611","26","3",0,"15 KOs","0 KOs"
"157610","47","6",0,"29 KOs","5 KOs"
"631773","23","1",1,"14 KOs","0 KOs"
"749669","17","1",0,"17 KOs","0 KOs"
"512777","30","1",1,"7 KOs","1 KOs"
"611983","31","1",0,"24 KOs","1 KOs"
"717953","17","0",1,"9 KOs","0 KOs"
"567641","23","3",0,"15 KOs","1 KOs"
"258662","43","10",2,"30 KOs","4 KOs"
"718508","22","0",0,"17 KOs","0 KOs"
"470367","31","3",0,"19 KOs","2 KOs"
"814335","20","0",0,"13 KOs","0 KOs"
"738345","13","1",0,"12 KOs","0 KOs"
"482863","35","3",0,"18 KOs","2 KOs"
"473908","33","3",0,"16 KOs","2 KOs"
"680284","23","2",0,"16 KOs","1 KOs"
"727150","18","1",0,"14 KOs","0 KOs"
"494223","36","3",1,"25 KOs","1 KOs"
"509429","28","2",0,"17 KOs","1 KOs"
"774417","11","0",0,"7 KOs","0 KOs"
"665878","26","1",0,"17 KOs","1 KOs"
"705325","19","0",1,"12 KOs","0 KOs"
"469744","35","3",1,"24 KOs","1 KOs"
"738032","18","1",0,"10 KOs","0 KOs"
"767596","12","0",0,"7 KOs","0 KOs"
"549073","29","3",1,"10 KOs","0 KOs"
"575332","21","0",0,"13 KOs","0 KOs"
"683920","22","1",1,"9 KOs","0 KOs"
"693965","22","2",0,"18 KOs","1 KOs"
"664518","16","0",0,"3 KOs","0 KOs"
"730557","29","0",0,"19 KOs","0 KOs"
"741197","24","2",0,"13 KOs","0 KOs"
"673141","20","2",0,"11 KOs","0 KOs"
"801693","15","0",0,"13 KOs","0 KOs"
"344539","26","14",1,"15 KOs","4 KOs"
"684792","16","2",1,"12 KOs","1 KOs"
"629464","22","2",1,"11 KOs","0 KOs"
"706779","15","2",0,"9 KOs","1 KOs"
"500607","25","2",1,"17 KOs","1 KOs"
"505296","22","4",0,"14 KOs","2 KOs"
"667667","15","1",0,"3 KOs","0 KOs"
"573607","19","2",0,"13 KOs","1 KOs"
"556657","29","4",0,"18 KOs","1 KOs"
"389447","43","4",0,"36 KOs","2 KOs"
