"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"9625","174","19",6,"109 KOs","1 KOs"
"9024","55","11",3,"21 KOs","1 KOs"
"352","50","0",0,"27 KOs","0 KOs"
"9001","89","6",1,"70 KOs","5 KOs"
"180","56","5",0,"37 KOs","1 KOs"
"9036","87","3",9,"59 KOs","0 KOs"
"9968","146","31",11,"36 KOs","3 KOs"
"8684","62","3",2,"52 KOs","0 KOs"
"9019","108","8",3,"49 KOs","2 KOs"
"9018","149","21",10,"99 KOs","2 KOs"
"9027","66","3",0,"52 KOs","2 KOs"
"281958","32","0",0,"16 KOs","0 KOs"
"9003","137","24",10,"44 KOs","1 KOs"
"269","36","3",1,"25 KOs","1 KOs"
"10116","88","22",10,"32 KOs","6 KOs"
"1414","55","8",2,"32 KOs","1 KOs"
"8995","186","23",10,"132 KOs","7 KOs"
"1853","41","2",1,"32 KOs","2 KOs"
"9017","85","24",2,"23 KOs","2 KOs"
"348759","57","1",2,"39 KOs","0 KOs"
"6129","62","8",2,"39 KOs","3 KOs"
"36463","122","12",20,"32 KOs","4 KOs"
"9004","83","12",2,"50 KOs","0 KOs"
"5364","46","0",0,"32 KOs","0 KOs"
"9025","81","7",0,"54 KOs","4 KOs"
"9038","55","8",1,"40 KOs","5 KOs"
"80","103","16",0,"70 KOs","4 KOs"
"8996","72","4",3,"22 KOs","0 KOs"
"774820","66","9",0,"47 KOs","5 KOs"
"9012","95","25",1,"52 KOs","7 KOs"
"12668","115","3",8,"26 KOs","0 KOs"
"11267","65","3",4,"38 KOs","0 KOs"
"11876","64","12",5,"38 KOs","4 KOs"
"8119","107","6",2,"85 KOs","4 KOs"
"11897","103","29",20,"30 KOs","1 KOs"
"11911","191","32",14,"77 KOs","6 KOs"
"9032","49","0",0,"43 KOs","0 KOs"
"8253","39","6",0,"30 KOs","2 KOs"
"499","44","10",2,"29 KOs","2 KOs"
"9030","83","19",4,"30 KOs","4 KOs"
"128","70","25",4,"36 KOs","11 KOs"
"7035","64","5",0,"53 KOs","4 KOs"
"12068","63","29",3,"25 KOs","2 KOs"
"6138","76","11",0,"31 KOs","5 KOs"
"3254","42","3",0,"35 KOs","1 KOs"
"9707","55","6",3,"24 KOs","2 KOs"
"10279","117","4",14,"14 KOs","1 KOs"
"9046","65","1",1,"48 KOs","0 KOs"
"12314","72","9",2,"31 KOs","1 KOs"
"9029","89","8",7,"28 KOs","2 KOs"
"303","61","5",1,"48 KOs","4 KOs"
"8387","61","7",1,"30 KOs","1 KOs"
"9010","60","19",3,"27 KOs","2 KOs"
"9020","126","24",4,"61 KOs","6 KOs"
"9624","94","29",8,"22 KOs","1 KOs"
"566","49","5",1,"36 KOs","0 KOs"
"2179","77","8",0,"62 KOs","4 KOs"
"9031","50","4",0,"39 KOs","3 KOs"
"24927","97","16",2,"46 KOs","7 KOs"
"43","229","11",1,"65 KOs","6 KOs"
"150","69","6",0,"44 KOs","1 KOs"
